DOC Start at : Sun Feb 14 11:08:44 2021

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319011 11:10:11       72      21     695    1192       5    1113    1776     131     708    1009     652     369     136     404      696    487   1183  1776 1602   1009 1905   2785   1

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319012 11:10:12      166     440     701      54     824     234     277    8078     891    2139    2631     134    1903    1561      385   2476   2861   824 1596   8078 1898   8902   4
P3 1613319013 11:10:13      139     776    1271     852     135       4     399     601     372     198      30     223     242     956      510    374    884  1271 1590    956 1917   2227   1
P3 1613319014 11:10:14      138     155     123      31      86      65     808     230     250     217     296       7     502     676      200    311    511   808 1602    676 1917   1484   3
P3 1613319015 11:10:15       20      28       0      47      68       6      26      30      29      14      12      22      33      13       27     21     48    68 1596     33 1914    101   3
P3 1613319016 11:10:16      131      12      26      30       4      38      48      23     128     299     436     245     101     131       41    194    235   131 1584    436 1908    567   1
P3 1613319017 11:10:17       49      50     122     106      12      28      35      44      16      27      63      45       4       1       57     28     85   122 1590     63 1908    185   3
P3 1613319018 11:10:18        1      52      26      30      17      12      18      45      45       5       6      14      13      17       22     20     42    52 1586     45 1898     97   3
P3 1613319019 11:10:19       58       0      22      40       1      88     117      34      61     137     192     211      45     104       46    112    158   117 1602    211 1911    328   3
P3 1613319020 11:10:20       43       8       6      17       9      13      12      26      27      28     101     185      15      50       15     61     76    43 1584    185 1911    228   3
P3 1613319021 11:10:21       23      87     109      45       5      48     124      14      31      70     113       7      26      10       63     38    101   124 1602    113 1908    237   3
P3 1613319022 11:10:22       31      66      33      21      19      20      29      25       5      11      24      35      25      29       31     22     53    66 1586     35 1911    101   3
P3 1613319023 11:10:23       87     149      38       4      19      29       6      16       2      26      34      88      75      28       47     38     85   149 1586     88 1911    237   3
P3 1613319024 11:10:24       54      46      37      31      19       3      51     111      52       2      33      19       6      83       34     43     77    54 1584    111 1898    165   3
P3 1613319025 11:10:25       39      12      25      10      30      83      25      12      50      12      38      18       0       7       32     19     51    83 1599     50 1902    133   3
P3 1613319026 11:10:26      149       9      34     161      76      19      87      54      57      16      71     105      98      10       76     58    134   161 1592    105 1911    266   1
P3 1613319027 11:10:27      113       1       1      14      15      27      68      13      46      59      35      33      35      95       34     45     79   113 1584     95 1917    208   2
P3 1613319028 11:10:28      579     865     246      72      52      15     101      34       5      30     173      47      73     522      275    126    401   865 1586    522 1917   1387   2
P3 1613319029 11:10:29        3      47       5     158     110     115     105     157     195      22      22       2      16     121       77     76    153   158 1592    195 1902    353   2
P3 1613319030 11:10:30        3      20      23      23      22      13       6      36       6      11      64      54      11      61       15     34     49    23 1590     64 1908     87   4
P3 1613319031 11:10:31     3878    4897    3887    1696     944      21     729    4161    8722    7311    4648   14392   48760   22040     2293  15719  18012  4897 1586  48760 1914  53657   2
P3 1613319032 11:10:32      617    1887    1310     256      71     488     301    5827    2028     505     280      41    2342    9044      704   2866   3570  1887 1586   9044 1917  10931   1
P3 1613319033 11:10:33      144       4      58      58      32      16      51      95     216      19      10      52      72     244       51    101    152   144 1584    244 1917    388   1
